display	candidate_id	best_rank	elixir	research	platform	commercial	company	protocol	wildcard	pareto_roles	flags	dissent
Draftifact	cand-91471eb5c738d448	1	A/3	A/2	A/1	A/1	B/1	A/2	no	6	0	1
ScopeTree	cand-43de64b504c70673	1	A/1	A/1	A/2	A/2	B/2	A/1	yes	6	0	1
Faultcell	cand-2fd35f18429f3994	2	A/2	B/8	B/10	B/4	B/7	B/13	no	6	0	1
Afterstate	cand-65dc12ed3858ac11	3	B/5	B/3	B/3	B/10	B/10	B/4	yes	6	0	0
Programmatics	cand-324a2ac4c9ca9114	3	B/16	B/5	B/5	B/22	B/29	B/3	no	6	0	1
Trialbook	cand-04693d05733fd7b7	3	B/6	B/4	B/9	B/3	B/3	B/5	no	6	0	0
Footlight	cand-729abad7fdccc7c5	4	B/12	B/24	B/15	B/5	B/4	B/21	no	6	0	1
Kinstate	cand-0d241d8b48765376	4	B/10	B/9	B/4	B/15	B/12	B/6	no	6	0	0
Mapfold	cand-84944b4d62def365	4	B/4	B/6	B/7	B/11	B/21	B/8	no	6	0	0
Kintra	cand-99c85e7a125dd838	5	B/26	B/36	B/17	B/14	B/5	B/25	no	6	0	0
Bridgework	cand-9ace4371dbd2b19c	6	B/20	B/21	B/19	B/8	B/6	B/19	no	6	0	0
Pinned Lineage	cand-e333e9930ee18f96	6	B/15	B/10	B/6	B/20	B/17	B/7	no	6	0	1
Scriptfold	cand-fb97b1568b4a01f1	6	B/9	B/19	B/40	B/6	B/19	B/42	no	6	0	0
beam.run	cand-55f81605772204ec	7	B/7	B/13	B/26	B/56	B/114	B/28	no	6	0	1
Evidence Loop	cand-58fed07dc08967a0	7	B/17	B/7	B/14	B/9	B/25	B/9	no	6	0	1
Prograft	cand-39ad9ab4f82b62c3	7	B/8	B/16	B/8	B/7	B/8	B/15	no	6	0	0
Keepline	cand-a96825f2c68d8821	9	B/21	B/25	B/11	B/13	B/9	B/17	no	6	0	0
Asterline	cand-cdd946d67ecf53b8	10	B/51	B/27	B/13	B/25	B/16	B/10	no	6	0	0
Archive Loom	cand-c6f046d760ae10ff	11	B/139	B/91	B/42	B/28	B/11	B/83	no	6	0	0
Measuremark	cand-7bee393771a63c53	11	B/38	B/11	B/25	B/26	B/42	B/14	no	6	0	1
Measureware	cand-4b0772664e5946ea	11	B/98	B/29	B/21	B/45	B/46	B/11	no	6	0	0
Processloom	cand-d99456fbd5b3f144	11	B/11	B/15	B/23	B/23	B/32	B/29	no	6	0	1
Faultglass	cand-d85467fceca0a43c	12	B/13	B/23	B/18	B/12	B/13	B/27	yes	6	0	1
Repair Loop	cand-859c19a40950ea4e	12	B/43	B/12	B/50	B/33	B/58	B/30	no	6	0	1
Tracefolio	cand-0d16773f0ca098d8	12	B/36	B/22	B/12	B/17	B/14	B/12	no	6	0	0
Run.Pack	cand-fdfcaab989b94113	14	B/14	B/14	B/28	B/52	B/89	B/22	no	6	0	1
Solfa	cand-b45557be03537f77	15	B/49	B/88	B/43	B/21	B/15	B/79	no	6	0	1
Carryforward	cand-f99ade68f83cf96b	16	B/22	B/17	B/16	B/19	B/18	B/16	yes	6	0	0
Trialwise	cand-948991a759aa32fc	16	B/33	B/18	B/24	B/16	B/22	B/23	no	6	0	0
Countertune	cand-d6438fe3847fc8d9	18	B/39	B/33	B/29	B/18	B/20	B/37	no	6	0	0
Evidence Beam	cand-329ed13957e03cf9	18	B/18	B/48	B/195	B/115	B/248	B/162	no	6	0	0
Evidence Loom	cand-053c6ecb8b91d00c	18	B/94	B/20	B/20	B/30	B/33	B/18	no	6	0	0
Tracecase	cand-65b52473dc9a2e0b	19	B/19	B/26	B/39	B/41	B/56	B/35	no	6	0	0
