surface	provenance	semantic_handle	code_form	principal_concern	candidate_id	second_pass	role
DSX	incumbent	Declarative Self-improving Elixir; direct DSPy lineage	dsx / DSX	Compact but opaque without its expansion; requires collision and availability clearance.	incumbent-dsx	unreviewed	unassigned
Accord	owner-positive	Civic life and governance, Labor and coordination	accord / Accord	Exact crates.io package record observed for "accord".	cand-b4ef49fb50c0c07d	unreviewed	unassigned
Attune	owner-positive	Learning and adaptation, Feedback, control, and cybernetics, Music, notation, and performance	attune / Attune	Exact crates.io package record observed for "attune".	cand-2d769791545d2b49	unreviewed	unassigned
Axima	owner-positive	Mathematics and logic, Abstract and sound-symbolic, Purpose, praxis, and teleology	axima / Axima	Axiom-adjacent sound can mislead researchers toward proof claims and may collide with mathematical or enterprise brands.	cand-84cb94baa6eb5328	unreviewed	unassigned
Chord	owner-positive	Music, notation, and performance, Theater and choreography, Architecture and construction	chord / Chord	Exact crates.io package record observed for "chord".	cand-25735baaa5b4e4cc	unreviewed	unassigned
Conduit	owner-positive	Infrastructure and logistics, Boundary and translation	conduit / Conduit	Exact crates.io package record observed for "conduit".	cand-41a01f9945b8b394	unreviewed	unassigned
Contain	owner-positive	Distributed runtime and resilience	contain / Contain	Exact crates.io package record observed for "contain".	cand-dd9245cc1ddc69c8	unreviewed	unassigned
Egress	owner-positive	Boundary and translation, Infrastructure and logistics	egress / Egress	Exact crates.io package record observed for "egress".	cand-a3083687ee111912	unreviewed	unassigned
Form	owner-positive	Declaration and contract, Program and compilation	form / Form	Exact crates.io package record observed for "form".	cand-07397d633f25a710	unreviewed	unassigned
Haptic Trace	owner-positive	Abstract and sound-symbolic, Music, notation, and performance	haptic_trace / HapticTrace	Current DSEx does not provide haptic hardware integration. The surface cannot warrant privacy, security, safety, accessibility, consent, fairness, ownership, legal compliance, healing, or improvement.	cand-c860775d333bbcb3	unreviewed	unassigned
Murmur	owner-positive	Abstract and sound-symbolic, Play and games	murmur / Murmur	Exact crates.io package record observed for "murmur".	cand-6200f53485b68397	unreviewed	unassigned
Praxon	owner-positive	Purpose, praxis, and teleology, Abstract and sound-symbolic, Action and agency	praxon / Praxon	Coined classical sound may read as generic enterprise software and still inherits Greek-root clustering.	cand-2ccb2493fba4df07	unreviewed	unassigned
SIFT	owner-positive	Science and experiment, Measurement and evidence, Feedback, control, and cybernetics	sift / Sift	Exact crates.io package record observed for "sift".	cand-cda9593e0f0c88ba	unreviewed	unassigned
Siglet	owner-positive	Declaration and contract	siglet / Siglet	It invents a future category that is not present in the API.	cand-bc9bc3352bd1321c	unreviewed	unassigned
Signatura	owner-positive	Declaration and contract, Language and meaning	signatura / Signatura	Exact npm package record observed for "signatura".	cand-68bef6f86606449e	unreviewed	unassigned
Spellwork	owner-positive	Ritual, magic, and transformation, Language and meaning, Labor and coordination	spellwork / Spellwork	Exact npm package record observed for "spellwork".	cand-e367ac846e21d494	unreviewed	unassigned
Spindle	owner-positive	Craft and material transformation, Composition and modularity	spindle / Spindle	Exact crates.io package record observed for "spindle".	cand-3daaec9e346786af	unreviewed	unassigned
T-Loop	owner-positive	Program and compilation, Distributed runtime and resilience	t_loop / TLoop	Loop can imply unbounded self-improvement or control stability.	cand-0ccb362a01dba41a	unreviewed	unassigned
The Terms	owner-positive	Civic life and governance, Labor and coordination	the_terms / TheTerms		cand-dde741ae436412aa	unreviewed	unassigned
TRACE	owner-positive	Measurement and evidence, Mathematics and logic, Feedback, control, and cybernetics	trace / Trace	Exact crates.io package record observed for "trace".	cand-eafe895eb8119e6e	unreviewed	unassigned
Wildtype	owner-positive	Ecology and cultivation, Measurement and evidence, Persistence and provenance	wildtype / Wildtype	Genetics borrowing may imply biological determinism or inappropriate fitness analogies.	cand-692505ecd41bd323	unreviewed	unassigned
Workrite	owner-positive	Ritual, magic, and transformation, Labor and coordination, Care, stewardship, and repair	workrite / Workrite	Could be heard as labor-management branding or compliance tooling.	cand-71cb91dd25f887d4	unreviewed	unassigned
Abstract Machine	owner-positive	Language and meaning, Program and compilation	abstract_machine / AbstractMachine	May imply a newly specified abstract machine or compiler target, neither of which is claimed.	cand-94513e0252ce2924	unreviewed	unassigned
Alembic	owner-positive	Ritual, magic, and transformation, Boundary and translation, Language and meaning	alembic / Alembic	Exact crates.io package record observed for "alembic".	cand-8249d2c3468df10e	unreviewed	unassigned
Anneal	owner-positive	Learning and adaptation, Uncertainty and probability, Science and experiment	anneal / Anneal	Exact crates.io package record observed for "anneal".	cand-5c210c2c24b21de8	unreviewed	unassigned
Anvil	owner-positive	Craft and material transformation, Care, stewardship, and repair	anvil / Anvil	Exact crates.io package record observed for "anvil".	cand-50bc66d8aae5ae90	unreviewed	unassigned
Apprentice	owner-positive	Pedagogy and apprenticeship, Labor and coordination	apprentice / Apprentice	Exact npm package record observed for "apprentice".	cand-042b8f64044ee799	unreviewed	unassigned
Aria	owner-positive	Music, notation, and performance, Composition and modularity	aria / Aria	Exact crates.io package record observed for "aria".	cand-48803cad0f3dcf64	unreviewed	unassigned
Ariadne	owner-positive	Music, notation, and performance, Navigation and orientation, Persistence and provenance	ariadne / Ariadne	Exact crates.io package record observed for "ariadne".	cand-af7d6d421fd572ef	unreviewed	unassigned
Arpeggio	owner-positive	Music, notation, and performance, Composition and modularity	arpeggio / Arpeggio	Exact crates.io package record observed for "arpeggio".	cand-4ab7ae4bf9dea8ae	unreviewed	unassigned
Artifactory	owner-positive	Composition and modularity, Writing, editing, and publishing	artifactory / Artifactory	Exact Hex package record observed for "artifactory".	cand-ba20768a02ee5327	unreviewed	unassigned
Assemble	owner-positive	Architecture and construction, Boundary and translation	assemble / Assemble	Exact crates.io package record observed for "assemble".	cand-63ebfab6ce4e84c4	unreviewed	unassigned
Beamline	owner-positive	Architecture and construction, Navigation and orientation, Infrastructure and logistics	beamline / Beamline	Exact npm package record observed for "beamline".	cand-e25fa2d4082aa3cf	unreviewed	unassigned
Bearing	owner-positive	Navigation and orientation, Architecture and construction	bearing / Bearing	Exact crates.io package record observed for "bearing".	cand-ee48a9c289450df1	unreviewed	unassigned
Bind	owner-positive	Declaration and contract, Boundary and translation	bind / Bind	Exact crates.io package record observed for "bind".	cand-f08dd851c430f52f	unreviewed	unassigned
Bound	owner-positive	Limits, refusal, and silence, Navigation and orientation, Boundary and translation	bound / Bound	Exact crates.io package record observed for "bound".	cand-5e1cf42878df58fe	unreviewed	unassigned
Cadence	owner-positive	Feedback, control, and cybernetics, Time, recovery, and inheritance, Music, notation, and performance	cadence / Cadence	Exact crates.io package record observed for "cadence".	cand-4f6b9e1c24d93d9a	unreviewed	unassigned
Calculary	owner-positive	Mathematics and logic, Program and compilation	calculary / Calculary	The calculus root may imply formal proof or laws the project does not claim.	cand-4901dc92f59edaf7	unreviewed	unassigned
Canon	owner-positive	Music, notation, and performance, Composition and modularity	canon / Canon	Exact crates.io package record observed for "canon".	cand-7a5356659c5b128b	unreviewed	unassigned
Canopy	owner-positive	Ecology and cultivation, Plurality and ecosystem, Distributed runtime and resilience	canopy / Canopy	Exact crates.io package record observed for "canopy".	cand-fee5dfd46b125f37	unreviewed	unassigned
Causeway	owner-positive	Boundary and translation, Architecture and construction, Purpose, praxis, and teleology	causeway / Causeway	Exact crates.io package record observed for "causeway".	cand-c2c0a72b71b80142	unreviewed	unassigned
